0 -nan -nan
100 0.568241 0.116341
200 0.626039 0.0878529
300 0.58812 0.069253
400 0.5768 0.0601588
500 0.593846 0.0545035
600 0.560417 0.0486676
700 0.560438 0.0449933
800 0.555986 0.0418911
900 0.539484 0.0389869
1000 0.534311 0.036764
1100 0.543539 0.0352746
1200 0.548613 0.0339081
1300 0.568594 0.0331336
1400 0.547183 0.0313977
1500 0.550034 0.0303317
1600 0.555102 0.0294973
1700 0.55363 0.0285867
1800 0.540946 0.0275302
1900 0.543853 0.0268015
2000 0.540087 0.0260436
2100 0.542118 0.0254554
2200 0.544501 0.024919
2300 0.548925 0.0244127
2400 0.546904 0.0238896
2500 0.546445 0.0234054
2600 0.546007 0.0229473
2700 0.550364 0.0225704
2800 0.551434 0.0221953
2900 0.543604 0.021684
3000 0.544729 0.0213264
3100 0.550992 0.0210751
3200 0.552331 0.0207858
3300 0.552734 0.0204807
3400 0.55812 0.0202692
3500 0.56031 0.020018
3600 0.564758 0.0197918
3700 0.565804 0.0195422
3800 0.567389 0.019288
3900 0.568261 0.0190383
4000 0.566683 0.018792
4100 0.568696 0.0186001
4200 0.572405 0.0184316
4300 0.570533 0.018201
4400 0.567712 0.017947
4500 0.567162 0.017743
4600 0.569996 0.0175894
4700 0.56658 0.0173579
4800 0.56839 0.0171955
4900 0.565915 0.0169926
5000 0.568811 0.0168655
5100 0.567931 0.0166859
5200 0.566739 0.0165108
5300 0.569765 0.0163965
5400 0.564699 0.0161878
5500 0.566727 0.0160613
5600 0.566287 0.0159063
5700 0.568869 0.0157944
5800 0.568537 0.0156498
5900 0.565751 0.0154918
6000 0.564433 0.0153505
6100 0.564835 0.0152215
6200 0.567389 0.0151134
6300 0.566937 0.0149983
6400 0.566358 0.0148806
6500 0.568121 0.0147979
6600 0.564862 0.0146465
6700 0.562276 0.0145062
6800 0.56139 0.0143961
6900 0.560233 0.0142761
7000 0.560351 0.0141707
7100 0.558884 0.0140524
7200 0.557032 0.0139384
7300 0.556337 0.0138313
7400 0.556285 0.0137344
7500 0.556872 0.0136562
7600 0.557279 0.013569
7700 0.555917 0.0134694
7800 0.557049 0.0133935
7900 0.554351 0.0132812
8000 0.553045 0.0131935
8100 0.551819 0.0130962
8200 0.552914 0.0130247
8300 0.552809 0.0129463
8400 0.550425 0.0128469
8500 0.549706 0.0127677
8600 0.547217 0.0126639
8700 0.545238 0.0125763
8800 0.542182 0.0124745
8900 0.543449 0.012424
9000 0.543752 0.0123582
9100 0.541807 0.0122792
9200 0.542727 0.0122204
9300 0.543599 0.0121589
9400 0.545171 0.0121135
9500 0.544298 0.0120359
9600 0.544112 0.0119706
9700 0.544511 0.0119106
9800 0.544713 0.0118525
9900 0.544775 0.0117996
10000 0.54419 0.0117339
10100 0.543605 0.0116682
10200 0.545034 0.0116233
10300 0.545466 0.01157
10400 0.545304 0.0115051
10500 0.545406 0.0114468
10600 0.54569 0.0113997
10700 0.545557 0.0113448
10800 0.545876 0.0112962
10900 0.544268 0.0112328
11000 0.543061 0.0111678
11100 0.543148 0.0111198
11200 0.542745 0.0110662
11300 0.542601 0.0110117
11400 0.542396 0.0109629
11500 0.542346 0.010914
11600 0.542019 0.0108642
11700 0.54205 0.0108192
11800 0.541218 0.0107662
11900 0.542134 0.010724
12000 0.542707 0.0106845
12100 0.544744 0.0106613
12200 0.544298 0.0106157
12300 0.545276 0.0105782
12400 0.546146 0.0105453
12500 0.544181 0.0104886
12600 0.543581 0.0104391
12700 0.54426 0.0104033
12800 0.544537 0.0103632
12900 0.547411 0.0103444
13000 0.547148 0.0103057
13100 0.547777 0.0102714
13200 0.548622 0.0102371
13300 0.546883 0.010188
13400 0.547767 0.0101572
13500 0.548359 0.0101218
13600 0.548033 0.0100817
13700 0.54743 0.0100397
13800 0.547242 0.0100006
13900 0.547808 0.00996881
14000 0.546998 0.00992893
14100 0.547153 0.0098925
14200 0.546732 0.00985312
14300 0.547193 0.00982304
14400 0.547199 0.00979
14500 0.54692 0.00975248
14600 0.547675 0.00972271
14700 0.548774 0.0096974
14800 0.54841 0.0096614
14900 0.547296 0.00962066
15000 0.545825 0.0095767
15100 0.547056 0.00954876
15200 0.546608 0.00951453
15300 0.547736 0.00949369
15400 0.547984 0.00946419
15500 0.547286 0.00942715
15600 0.547069 0.0093964
15700 0.545609 0.00935603
15800 0.545736 0.00932533
15900 0.546357 0.00929974
16000 0.545212 0.00926384
16100 0.545906 0.00923997
16200 0.546734 0.00921535
16300 0.547543 0.00919194
16400 0.546274 0.00915458
16500 0.546527 0.00912817
16600 0.545653 0.00909593
16700 0.546658 0.00907386
16800 0.546647 0.00904559
16900 0.546005 0.00901426
17000 0.545597 0.00898523
17100 0.546143 0.00896385
17200 0.545229 0.00893224
17300 0.545928 0.0089089
17400 0.545337 0.00887967
17500 0.546251 0.00885984
17600 0.546442 0.0088366
17700 0.54628 0.00881026
17800 0.545835 0.0087821
17900 0.547302 0.00876564
18000 0.54696 0.00873958
18100 0.547038 0.00871426
18200 0.547119 0.00869053
18300 0.547467 0.00866816
18400 0.547275 0.00863971
18500 0.546766 0.00861365
18600 0.547315 0.00859686
18700 0.548047 0.0085797
18800 0.547826 0.00855589
18900 0.54807 0.0085346
19000 0.548604 0.00851396
19100 0.549305 0.00849591
19200 0.548715 0.00846981
19300 0.549282 0.00845152
19400 0.549206 0.00843193
19500 0.548944 0.00840989
19600 0.550113 0.00839468
19700 0.550006 0.00837127
19800 0.550448 0.00835362
19900 0.550281 0.00833133
20000 0.549739 0.00830593
20100 0.549946 0.00828615
20200 0.550034 0.00826777
20300 0.550131 0.00824937
20400 0.550551 0.00823101
20500 0.550721 0.0082127
20600 0.550012 0.00818954
20700 0.549568 0.00816909
20800 0.551227 0.00815932
20900 0.550547 0.0081371
21000 0.550343 0.0081156
21100 0.550698 0.0080971
21200 0.55123 0.00808021
21300 0.552808 0.0080701
21400 0.553074 0.00805348
21500 0.552564 0.00803178
21600 0.552361 0.0080122
21700 0.55267 0.00799414
21800 0.553806 0.00798347
21900 0.55373 0.00796373
22000 0.553213 0.00794133
22100 0.553032 0.00792151
22200 0.552476 0.00789915
22300 0.55207 0.00787875
22400 0.551905 0.00786107
22500 0.551594 0.00784226
22600 0.551097 0.00782225
22700 0.551144 0.00780634
22800 0.551318 0.00778889
22900 0.551228 0.00777215
23000 0.551355 0.00775454
23100 0.551536 0.00773957
23200 0.551151 0.00772138
23300 0.551125 0.0077053
23400 0.550915 0.00768755
23500 0.550886 0.00766947
23600 0.550116 0.00764986
23700 0.549742 0.00763026
23800 0.549188 0.00761051
23900 0.549783 0.00759702
24000 0.549584 0.00758106
24100 0.549676 0.00756605
24200 0.548984 0.00754556
24300 0.549738 0.00753301
24400 0.550008 0.00751794
24500 0.549712 0.00750111
24600 0.549763 0.00748639
24700 0.550623 0.00747552
24800 0.550268 0.00745829
24900 0.550402 0.0074446
25000 0.551192 0.00743345
25100 0.550855 0.00741659
25200 0.550896 0.00740221
25300 0.549823 0.00738068
25400 0.549822 0.00736677
25500 0.550171 0.00735341
25600 0.550282 0.00733987
25700 0.549782 0.00732338
25800 0.549188 0.0073059
25900 0.549193 0.00729207
26000 0.54806 0.00727193
26100 0.54757 0.0072558
26200 0.548451 0.00724762
26300 0.54873 0.0072346
26400 0.549231 0.00722339
26500 0.548584 0.00720626
26600 0.547943 0.00718943
26700 0.548326 0.00717779
26800 0.548775 0.00716714
26900 0.548874 0.0071539
27000 0.549426 0.00714379
27100 0.549491 0.00713101
27200 0.54995 0.00712078
27300 0.55003 0.00710824
27400 0.549971 0.00709338
27500 0.549966 0.00708006
27600 0.549631 0.007065
27700 0.549517 0.00705065
27800 0.549286 0.00703627
27900 0.549734 0.00702586
28000 0.549445 0.00701195
28100 0.549264 0.00699846
28200 0.549353 0.00698755
28300 0.550055 0.00697894
28400 0.549765 0.00696428
28500 0.550669 0.00695678
28600 0.550593 0.00694406
28700 0.550929 0.0069343
28800 0.551738 0.00692675
28900 0.551935 0.00691618
29000 0.551727 0.00690299
29100 0.551346 0.00688904
29200 0.551135 0.00687593
29300 0.551003 0.00686243
29400 0.550808 0.00685043
29500 0.550858 0.00683923
29600 0.551298 0.00682982
29700 0.552497 0.00682407
29800 0.551954 0.00681013
29900 0.551753 0.0067976
30000 0.551792 0.00678646
30100 0.551992 0.00677607
30200 0.551837 0.0067641
30300 0.551986 0.00675379
30400 0.551998 0.00674251
30500 0.552493 0.00673374
30600 0.552572 0.00672359
30700 0.552906 0.00671423
30800 0.553022 0.00670375
30900 0.553711 0.00669623
31000 0.553527 0.00668373
31100 0.553294 0.0066714
31200 0.553169 0.00666025
31300 0.552282 0.00664573
31400 0.552662 0.00663745
31500 0.55232 0.00662533
31600 0.552522 0.00661538
31700 0.552529 0.00660422
31800 0.553412 0.00659789
31900 0.553361 0.00658666
32000 0.553198 0.0065755
32100 0.552762 0.00656393
32200 0.552759 0.00655361
32300 0.552752 0.0065434
32400 0.552484 0.00653246
32500 0.552387 0.00652168
32600 0.552992 0.00651533
32700 0.552923 0.00650502
32800 0.552548 0.00649322
32900 0.55284 0.00648357
33000 0.552872 0.00647328
33100 0.553523 0.00646636
33200 0.553385 0.00645546
33300 0.553182 0.00644514
33400 0.553301 0.00643611
33500 0.553885 0.00642941
33600 0.554146 0.00642203
33700 0.554272 0.00641319
33800 0.554233 0.00640255
33900 0.554269 0.00639345
34000 0.554385 0.00638463
34100 0.553574 0.00637181
34200 0.554106 0.00636546
34300 0.554778 0.00636005
34400 0.554758 0.00635124
